"xmlversion","qaversion","bnf_version","object_id","app_version","timestamp","policy_name","state","user_agent_os","user_agent_browser","user_agent_version","user_agent_language","user_type","type","user_id","url"
"031114","Nov2014v1","kevinV1","577f29a2e1382363b465598b","0.1.1","1467951522.711698","","","linux","firefox","38.0","","logged out","http","","http://0.0.0.0:5000/login?next=%2Fpolicy%2FNIST+Policy%2FPage+1.1+title"
"031114","Nov2014v1","kevinV1","577f29a6e1382363b465598c","0.1.1","1467951526.792583","","","linux","firefox","38.0","","logged out","http","","http://0.0.0.0:5000/login?next=%2Fpolicy%2FNIST+Policy%2FPage+1.1+title"
"031114","Nov2014v1","kevinV1","577f29aae1382363b465598d","0.1.1","1467951530.085816","","","linux","firefox","38.0","","logged out","http","","http://0.0.0.0:5000/signup"
"031114","Nov2014v1","kevinV1","577f29aee1382363b465598f","0.1.1","1467951534.7295","","","linux","firefox","38.0","","participant","signup","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/signup"
"031114","Nov2014v1","kevinV1","577f29aee1382363b4655990","0.1.1","1467951534.768062","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/"
"031114","Nov2014v1","kevinV1","577f29b0e1382363b4655991","0.1.1","1467951536.950137","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/demosurvey"
"031114","Nov2014v1","kevinV1","577f29b2e1382363b4655993","0.1.1","1467951538.944026","demosurvey","draft","linux","firefox","38.0","","participant","demosurvey response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/demosurvey","question:d.1","response:d.1.A"
"031114","Nov2014v1","kevinV1","577f29b3e1382363b4655994","0.1.1","1467951539.507665","demosurvey","draft","linux","firefox","38.0","","participant","demosurvey response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/demosurvey","question:d.2","response:d.2.C"
"031114","Nov2014v1","kevinV1","577f29b6e1382363b4655995","0.1.1","1467951542.944029","demosurvey","draft","linux","firefox","38.0","","participant","demosurvey response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/demosurvey","question:d.3","response:d.3.C"
"031114","Nov2014v1","kevinV1","577f29bbe1382363b4655999","0.1.1","1467951547.20829","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policies"
"031114","Nov2014v1","kevinV1","577f29bee1382363b465599a","0.1.1","1467951550.504973","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy"
"031114","Nov2014v1","kevinV1","577f29bfe1382363b465599b","0.1.1","1467951551.330017","MHPCC Policy","new","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/Page 1.1 title"
"031114","Nov2014v1","kevinV1","577f29c5e1382363b465599c","0.1.1","1467951557.05248","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/group 2"
"031114","Nov2014v1","kevinV1","577f29c5e1382363b465599d","0.1.1","1467951557.391022","MHPCC Policy","new","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/page 2.1 title"
"031114","Nov2014v1","kevinV1","577f29c7e1382363b465599e","0.1.1","1467951559.751631","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/group 3"
"031114","Nov2014v1","kevinV1","577f29c8e1382363b465599f","0.1.1","1467951560.022812","MHPCC Policy","new","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/page 3.1.1.1"
"031114","Nov2014v1","kevinV1","577f29cde1382363b46559a0","0.1.1","1467951565.615452","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/Round 2 tests"
"031114","Nov2014v1","kevinV1","577f29cde1382363b46559a1","0.1.1","1467951565.881376","MHPCC Policy","new","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/Group title redundancy lvl 2"
"031114","Nov2014v1","kevinV1","577f2a2de1382363b46559a2","0.1.1","1467951661.108689","","","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/Group 1"
"031114","Nov2014v1","kevinV1","577f2a2de1382363b46559a3","0.1.1","1467951661.379968","MHPCC Policy","new","linux","firefox","38.0","","participant","http","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/policy/MHPCC Policy/Page 1.1 title"
"031114","Nov2014v1","kevinV1","577f2a3fe1382363b46559a4","0.1.1","1467951679.66982","MHPCC Policy","draft","linux","firefox","38.0","","participant","response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/questionnaire","question:q.1.5>q.1.5.a","response:-1"
"031114","Nov2014v1","kevinV1","577f2a40e1382363b46559a5","0.1.1","1467951680.868131","MHPCC Policy","draft","linux","firefox","38.0","","participant","response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/questionnaire","question:q.1.5>q.1.5.a","response:-1"
"031114","Nov2014v1","kevinV1","577f2a44e1382363b46559a6","0.1.1","1467951684.031009","MHPCC Policy","draft","linux","firefox","38.0","","participant","response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/questionnaire","question:q.1.5>q.1.5.a","response:-2"
"031114","Nov2014v1","kevinV1","577f2a45e1382363b46559a7","0.1.1","1467951685.045748","MHPCC Policy","draft","linux","firefox","38.0","","participant","response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/questionnaire","question:q.1.5>q.1.5.a","response:-2"
"031114","Nov2014v1","kevinV1","577f2a55e1382363b46559a8","0.1.1","1467951701.987668","MHPCC Policy","draft","linux","firefox","38.0","","participant","response","e3c0921411ef75027dd552786c9424e9ae2122029cf9c8a20dbb7058670b8055000747eb084f6738a67e70fc32748275bdc23ea009666f59a55b02dedd6cdea1","http://0.0.0.0:5000/api/questionnaire","question:q.1.5>q.1.5.a","response:4"
